Department,CourseName,Course,Program,CourseCode,Offerings that are sustainable,CourseDescription,Focused or Inclusive,Cross Listed
Interdepartmental Arts,Freshman Seminar in Africana Studies,AAS 090,AAS,090,Specific offerings,"This course will examine the concept of race and how this concept has been deployed in different societies including the United States. Through readings of social science, biology, and memoir, students will learn how race can be both a social construct and a significant variable in the distribution of power and privilege. Multiracial identities will be central to these explorations. In confronting the illusory aspects of race, students will apply principles of scientific reasoning and evidence.",Sustainability-inclusive,
Interdepartmental Arts,Race and Ethnicity in the Contemporary U.S.,AAS 103,AAS,103,All offerings,"Examines race and ethnicity from a sociological perspective. Focus on the role of the major racial and ethnic communities in modern American society. Explores the roles of race and ethnicity in identity, social relations, and social inequality. Topics include racial and ethnic communities, minority/majority groups, assimilation, prejudice/discrimination, identity and the social construction of the concept of “race.”",Sustainability-inclusive,
Interdepartmental Arts,Race and Ethnicity in the Americas,AAS 106,AAS,106,All offerings,"How is it possible that someone who is officially considered black in the United States can embody different racial identities throughout current Latin America? Even more, how is it possible that people considered white nowadays were not officially so in early twentieth-century US (although they were viewed as white in the Latin American context at the same time period)? This course offers a historical comparative analysis of the nature and dynamics of race between the United States and Latin America.",Sustainability-inclusive,SOC 106
Interdepartmental Arts,African American History,AAS 130,AAS,130,All offerings,"Blacks in America from the first importation of Africans to the implementation of civil rights laws. West African origins, slave trade, slavery, free blacks and emancipation and study of Reconstruction, segregation, urbanization, and the struggle for racial equality.",Sustainability-inclusive,HIST 130
Interdepartmental Arts,Black Lives Matter in Fashion,AAS 196,AAS,196,Specific offerings,"The Black embodiment of aesthetics in American fashion has always been influential, and also suppressed, appropriated, and disparaged. Students will examine Black fashion aesthetics and movements within a historical context and the contemporary fashion sphere. We will explore the development and impact of African American visual expression and cultural preferences within a sartorial context often at variance with the dominant racial group. We will acknowledge and analyze the importance and creativity of Black designers in apparel-related industries today. This course fulfills an elective requirement Theatre; may count toward Africana major or minor either as an elective course, OR as a ""breadth course"" in the ""Visual & Performing Arts or Literature"" category.",Sustainability-inclusive,THTR 196
Interdepartmental Arts,Ain't I a ____? Black Identity,AAS 197,AAS,197,Specific offerings,"Ain't I a__? Black Identity and Gender Politics is a course that focuses on the sociology of race and gender. In this course, students will explore the intersection of race and gender in Black women and men's lives, and the meanings those intersections have for Black people. Students will explore race and gender within the social structure, social institutions, and interpersonal social interactions.",Sustainability-inclusive,"SOC 197, WGSS 197"
Interdepartmental Arts,Music Industry/Inequality,AAS 198,AAS,198,Specific offerings,"What were the racial and gendered stakes when Kanye West interrupted Taylor Swift at the MTV Video Music Awards? How did the R. Kelly and Kesha sexual abuse cases go so under-covered? What are the structures of the music industry that enable inequity? This course addresses these questions and problematic hierarchies within the global popular music industry. It situates musical case studies in social, news and entertainment media environments and highlights the role of music journalism—from Rolling Stone to Pitchfork—in setting the terms of key debates. Course is an approved elective for the Journalism major, Mass Communication minor, and Africana Studies major and minor.",Sustainability-inclusive,COMM 198
Interdepartmental Arts,Social Movements 1960s-Present,AAS 230,AAS,230,All offerings,"The lessons of U.S. social and political movements from the 1960s and the post-2000 era. Students examine social movements through the lens of intersectionality, with a focus on civil rights, anti-war activism, women’s rights, global justice, and ecology movements, to assess their connection to democracy and citizens’ lives.",Sustainability-inclusive,POLS 230
Interdepartmental Arts,Residential Segregation,AAS 305,AAS,305,All offerings,"This course is an introductory planning course, with an emphasis on housing and community development policy. It will examine historical and contemporary aspects of urban politics; the economic, demographic, and spatial evolution of American cities; and various urban problems, such as the spatial mismatch between people and jobs, housing quality and affordability, and residential segregation. Finally, the course will review how planners have addressed conditions in cities and regions over time.",Sustainability-inclusive,"EVST 305, POLS 305"
Interdepartmental Arts,Social Movements in Society,AAS 313,AAS,313,All offerings,"Interested in how social change works? Or how to stop it? This seminar provides an introduction to the origins, dynamics, and consequences of historical and contemporary social movements, beginning with the American Civil Rights Movement. Students will discuss and develop their own ideas on these issues through examination of social movement theory and empirical case studies. They will also explore more general questions about the relationship between human agency, social structure, and historical change.",Sustainability-inclusive,
