Instructor,Course and Section,Program,CourseCode,CourseName
"Dong, Beibei",MKT 366,MKT,366,Service Innovation and Marketing
"Pervizpour, Mesut",CEE 202,CEE,202,Planning and Engineering Economics
"Pinter, Janos",ISE 316,ISE,316,Optimization Models and Applications
"Shan, Limei",CHIN 004,CHIN,4,Beginning Spoken Chinese II
"Shan, Limei",CHIN 122,CHIN,122,Intermediate Business Chinese
"Whitehouse, Bruce",ANTH 090,ANTH,90,The Challenges of Sustainability: Rescuing the Future from Looming Environmental and Social Threats
"Austin, Kelly",SOAN 111,SOAN,111,
"Butler, Lawrence",ISE 319,ISE,319,Facilities Planning and Materials Handling
"Chew, Meng-Sang",ME 10,ME,10,Graphics for Engineering Design
"Choi, Hyunok",POPH 106,POPH,106,Global Environment and Human Welfare
"Felzer, Ben",ANTH 090,ANTH,90,The Challenges of Sustainability: Rescuing the Future from Looming Environmental and Social Threats
"Hinrichs, Dave",ACCT 324,ACCT,324,Cost Accounting
"Hupback, Almut",PSYC 176,PSYC,176,Cognitive Neuroscience
"Lowry, Will",THTR 090,THTR,90,Can AI make Art?
"Pimputkar, Siddha",MAT 33,MAT,33,Semester Projects
"Rodriguez, Karen",GCP 010,GCP,10,Introduction to Global Citizenship
"Yan, Zhiyuan",ECE 201,ECE,201,Computer Architecture
"Gabel, Lyam",THTR090,THTR090,,Can AI Make Art?
"Jackson, Kate",CGH 108,CGH,108,Food Justice
"Lambert, Tamara",ACCT 151,ACCT,151,Introduction to Financial Accounting
"McIntire, Russ",EPI 305,EPI,305,Epidemiologic Methods 2
"O'Keefe, Kayleigh",BIOS 044,BIOS,44,Introduction to Integrative and Comparative Biology
"Tong, Xiaochuan",FIN 335,FIN,335,Advanced Topics - Financial Management
"Gartner, Thomas",CHE 210,CHE,210,Chemical Engineering Thermodynamics
"Kowalski, Jenny",DES 060,DES,60,Graphic Design: Brand Experience
"Shin, Jong",EPI 308,EPI,308,Spatial Epidemiology
"Zheng, Juan",TLT 458,TLT,458,Introduction to Multimedia Programming and Development
"Abell, Jordan",EES 080,EES,80,Introduction to Earth Systems
"Arias, Sabrina",IR 010,IR,10,Introduction to World Politics
"Balmonte, JP",EES 080,EES,80,Introduction to Earth Systems
"Cummings, Meredith",JOUR 021,JOUR,21,Writing for the Media
"Gogovi, Gideon",BSTA 007,BSTA,7,Frontiers of AI in Health
"Herrera, Santiago",BIOS 348,BIOS,348,Marine Biology
"Peabody Smith, Ally",HLTH 412,HLTH,412,Research Ethics in Population Health
