Department,College,Credits,Course,Program,CourseCode,Crosslist,CourseName,CourseDescription,Attributes
Africana Studies,Arts & Sciences,4,AAS 003,AAS,003,,Introduction to Africana Studies ,"An interdisciplinary examination of the roots, culture, and politics of the modern black world through study of classic works in Africana Studies with emphasis on the continuities among African peoples worldwide and the social forces that have shaped contemporary black life in Africa and the Americas.","CC, SS, SW, W"
Africana Studies,Arts & Sciences,1-4,AAS 091,AAS,091,,Special Topics ,Study of a subject or issue in Africana Studies not covered in other courses. May be repeated for credit as subtitle varies.,"AL, CC, HE, HU, SS, SW, W"
Africana Studies,Arts & Sciences,4,AAS 102,AAS,102,"ENGL 102, JST 102, REL 102",Promised Lands: Jewish and African American Children's Literature ,"In the Hebrew Bible, Psalm 137 asks, “How can we sing the Lord’s song in a strange land?” For Jews, blacks, and black Jews, this was and is a poignant question. This course examines how these two rich, often overlapping and interacting groups tell their stories in literature for children and young adults, with a particular focus on the mediation of traumatic pasts. What does it mean to imagine promised lands beyond such pasts—and can they be reached?","CC, HE, HU, W"
Africana Studies,Arts & Sciences,4,AAS 106,AAS,106,"LAS 106, SOC 106",Race and Ethnicity in the Americas ,"How is it possible that someone who is officially considered black in the United States can embody different racial identities throughout current Latin America? Even more, how is it possible that people considered white nowadays were not officially so in early twentieth-century US (although they were viewed as white in the Latin American context at the same time period)? This course offers a historical comparative analysis of the nature and dynamics of race between the United States and Latin America.","CC, SS, SW, W"
Africana Studies,Arts & Sciences,4,AAS 117,AAS,117,PHIL 117,"Race, Racism, and Philosophy ","An introduction to the philosophy born of struggle against racism and white supremacy. We will read the work of philosophers, mostly European, who quietly made modern racism possible by inventing the category of race, but we will concentrate on the work of philosophers, mostly of African descent, who for 200 years have struggled to force a philosophical critique of the category of race and the practice of white supremacy.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,4,AAS 126,AAS,126,"HIST 126, WGSS 126",How Black Women Made Modern America ,"This course introduces students to the significant themes and events that have shaped the African American women’s historical experience from slavery to the present. We examine the social, political, and economic meaning of freedom for women of African descent.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,3,AAS 128,AAS,128,MUS 128,Jazz History I ,"A study of the roots of jazz. Starting in West Africa, the course traces the synthesis of African and European elements to 1945. Musicians covered are Gottshalk, Bolden, Morton, Armstrong, Hawkins, Basie, Ellington, and others.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,3,AAS 129,AAS,129,MUS 129,Jazz History II ,"A survey of modern jazz from 1945 to present. Musicians covered include Parker, Gillespie, Monk, Davis, Coltrane, Hancock, and Coleman. Can be taken independently of Jazz History I, but the first course would be helpful.","CC, HE, HU, W"
Africana Studies,Arts & Sciences,4,AAS 130,AAS,130,HIST 130,African American History ,"Blacks in America from the first importation of Africans to the implementation of civil rights laws. West African origins, slave trade, slavery, free blacks and emancipation and study of Reconstruction, segregation, urbanization, and the struggle for racial equality.","CC, HE, SS, W"
Africana Studies,Arts & Sciences,4,AAS 131,AAS,131,"GS 131, HIST 131, WGSS 131","Women, Gender, Sexuality and Race in African Societies ","This course explores the various ways in which womanhood, gender, sexuality and race are defined, constructed and articulated in African societies. The interdisciplinary course draws from historical writings, novels, biography, anthropology, political science, health and other fields to examine diverse activities and contributions of African women from the pre-colonial period to the present.","CC, HE, HU, W"
