TERM,term,CRN,Course,ATTR,TITLE,DESCRIPTION,MEETINGDAYS,BLDG_ROOM,CLAS_DAYS,CLASTIME,CLAS_BLDGROOM,CMT1_DAYS,CMT1TIME,CMT1_BLDGROOM,SWAP_ENRL,SWAP_MAXENRL,PROJECTEDENRL,INST_LIN,INSTRUCTOR,XLST_GRP,XLST_CRSE,COLLEG,Sustainable,Justification,Keyword Match,Course WS Match,WS/Sustainable Faculty Match,Prev Identified Match,CC Encounter Match
202440,fall 2024,44357,AAS 130-010,"CC, HE, SS, W",African American History,"Blacks in America from the first importation of Africans to the implementation of civil rights laws. West African origins, slave trade, slavery, free blacks and emancipation and study of Reconstruction, segregation, urbanization, and the struggle for racial equality.",T R,MG 111,,-, ,,-, ,29,30,30,800039200,"Williams, Joseph",AA,HIST 130-010 (44356),Arts & Sciences,,,,,,,
202440,fall 2024,44356,HIST 130-010,,African American History,"Blacks in America from the first importation of Africans to the implementation of civil rights laws. West African origins, slave trade, slavery, free blacks and emancipation and study of Reconstruction, segregation, urbanization, and the struggle for racial equality.",T R,MG 111,,-, ,,-, ,29,30,30,800039200,"Williams, Joseph",AA,AAS 130-010 (44357),Arts & Sciences,,,,,,,
202510,spring 2025,10814,EDL 479-010,,School Law and Ethics,"Examination of legal and ethical issues in effective leadership in the public schools, including awareness, analysis and applications of judicial interpretations of the constitutions, statutes, regulations, and common law relating to educational issues.",M,ONLINE ,,-, ,,-, ,27,20,20,811807643,"Osborne, Brian",AA,EDL 479-011 (14540),Education,,,,,,,
202510,spring 2025,14540,EDL 479-011,,School Law and Ethics,"Examination of legal and ethical issues in effective leadership in the public schools, including awareness, analysis and applications of judicial interpretations of the constitutions, statutes, regulations, and common law relating to educational issues.",M,ONLINE ,,-, ,,-, ,27,20,20,811807643,"Osborne, Brian",AA,EDL 479-010 (10814),Education,,,,,,,
202420,summer 2024,20849,AAS 198-012,,"Music Industry,Media&Inequalit","What were the racial and gendered stakes when Kanye West interrupted Taylor Swift at the MTV Video Music Awards? How did the R. Kelly and Kesha sexual abuse cases go so under-covered? What are the structures of the music industry that enable inequity? This course addresses these questions and problematic hierarchies within the global popular music industry. It situates musical case studies in social, news and entertainment media environments and highlights the role of music journalism—from Rolling Stone to Pitchfork—in setting the terms of key debates. Course is an approved elective for the Journalism major, Mass Communication minor, and Africana Studies major and minor.",,ONLINE ,,-, ,,-, ,6,16,16,886162730,"Vilanova, John",AA,COMM 198-012 (20848),Arts & Sciences,,,,,,,
202420,summer 2024,20848,COMM 198-012,,"Music Industry,Media&Inequalit","What were the racial and gendered stakes when Kanye West interrupted Taylor Swift at the MTV Video Music Awards? How did the R. Kelly and Kesha sexual abuse cases go so under-covered? What are the structures of the music industry that enable inequity? This course addresses these questions and problematic hierarchies within the global popular music industry. It situates musical case studies in social, news and entertainment media environments and highlights the role of music journalism--Rolling Stone to Pitchfork--in setting the terms of key debates. Course is an approved elective for the Journalism major, Mass Communication minor, and Africana Studies major and minor.",,ONLINE ,,-, ,,-, ,6,16,16,886162730,"Vilanova, John",AA,AAS 198-012 (20849),Arts & Sciences,,,,,,,
202520,summer 2025,20949,DSCI 310-010,,Introduction to Data Science,"The computational analysis of data to extract knowledge and insight. Exploration and manipulation of data. Introduction to data collection and cleaning, reproducibility, code and data management, statistical inference, modeling, ethics, and visualization. Not available to undergraduate students.",M T W R,MG 101,,-, ,,-, ,59,65,37,829471873,"Khan, Bilal",AA,DSCI 310-012 (21340),Engineering,,,,,,,
202520,summer 2025,21340,DSCI 310-012,,Introduction to Data Science,"The computational analysis of data to extract knowledge and insight. Exploration and manipulation of data. Introduction to data collection and cleaning, reproducibility, code and data management, statistical inference, modeling, ethics, and visualization. Not available to undergraduate students.",, ,,-, ,,-, ,59,65,35,829471873,"Khan, Bilal",AA,DSCI 310-010 (20949),Engineering,,,,,,,
202445,winter 2024,50036,BUAN 346-010,,Python Applications for Business ,"This class is designed to introduce students to the processes involved in acquiring, cleaning, arranging, analyzing, and visualizing business data using the Python programming language. It will be fast-paced, but assumes only a basic familiarity with coding, and requires no specific expertise in Python to start. Students cannot receive credit for both BUAN 346 and BIS 446.",,ONLINE ,,-, ,,-, ,13,35,25,800086096,"Sun, Yaqin",AA,BUAN 446-010 (50032),Business,,,,,,,
202445,winter 2024,50032,BUAN 446-010,,Python Applications for Business ,"This class is designed to introduce students to the processes involved in acquiring, cleaning, arranging, analyzing, and visualizing business data using the Python programming language. It will be fast-paced, but assumes only a basic familiarity with coding, and requires no specific expertise in Python to start. Students cannot receive credit for both BUAN 346 and BUAN 446.",,ONLINE ,,-, ,,-, ,13,35,25,800086096,"Sun, Yaqin",AA,BUAN 346-010 (50036),Business,,,,,,,
202440,fall 2024,44458,ANTH 117-010,"CC, SS, SW, W",Archaeology of Latin America,"Explores the past of Latin America and the major civilizations that existed prior to European arrival and colonization. Extending from Mesoamerica through the Southern Andes, topics covered include the monumental structures, belief systems, and trade networks that made sure an entire continent was interconnected for millennia. This course also looks at the ways in which European colonialism has shaped the perception of these civilizations and how modern pseudoarchaeology continues to deny the accomplishments of indigenous cultures.",M W,DR 209,,-, ,,-, ,22,19,24,800040458,"Anzellini, Armando",AB,"GS 117-010 (44463), LAS 117-010 (44461)",Arts & Sciences,,,,,,,
202440,fall 2024,44463,GS 117-010,,Archaeology of Latin America,"Explores the past of Latin America and the major civilizations that existed prior to European arrival and colonization. Extending from Mesoamerica through the Southern Andes, topics covered include the monumental structures, belief systems, and trade networks that made sure an entire continent was interconnected for millennia. This course also looks at the ways in which European colonialism has shaped the perception of these civilizations and how modern pseudoarchaeology continues to deny the accomplishments of indigenous cultures.",M W,DR 209,,-, ,,-, ,22,19,24,800040458,"Anzellini, Armando",AB,"ANTH 117-010 (44458), LAS 117-010 (44461)",Arts & Sciences,,,,,,,
202440,fall 2024,44461,LAS 117-010,,Archaeology of Latin America,"Explores the past of Latin America and the major civilizations that existed prior to European arrival and colonization. Extending from Mesoamerica through the Southern Andes, topics covered include the monumental structures, belief systems, and trade networks that made sure an entire continent was interconnected for millennia. This course also looks at the ways in which European colonialism has shaped the perception of these civilizations and how modern pseudoarchaeology continues to deny the accomplishments of indigenous cultures.",M W,DR 209,,-, ,,-, ,22,19,24,800040458,"Anzellini, Armando",AB,"ANTH 117-010 (44458), GS 117-010 (44463)",Arts & Sciences,,,,,,,
202510,spring 2025,14648,BIOE 366-010,,Neural Engineering,"Neural system interfaces for scientific and health applications. Basic properties of neurons, signal detection and stimulation, instrumentation and microfabricated electrode arrays. Fundamentals of peripheral and central neural signals and EEG, and applications such as neural prostheses, implants and brain-computer interfaces. Closed to students who have taken BIOE 466, ECE 366, or ECE 466.",M W,XS 303,,-, ,,-, ,13,65,20,854610795,"Berdichevsky, Yevgeny",AB,"BIOE 466-011 (14650), BIOE 466-012 (14651), ECE 366-010 (15182), ECE 466-010 (15183)",Engineering,,,,,,,
202510,spring 2025,14650,BIOE 466-011,,Neural Engineering,"Neural system interfaces for scientific and health applications. Basic properties of neurons, signal detection and stimulation, instrumentation and microfabricated electrode arrays. Fundamentals of peripheral and central neural signals and EEG, and applications such as neural prostheses, implants and brain-computer interfaces. Closed to students who have taken BIOE 366, ECE 366, or ECE 466. Students enrolled in the course at the 400-level must complete additional advanced assignments, as defined by the course instructor.",M W,XS 303,,-, ,,-, ,13,65,10,854610795,"Berdichevsky, Yevgeny",AB,"BIOE 366-010 (14648), BIOE 466-012 (14651), ECE 366-010 (15182), ECE 466-010 (15183)",Engineering,,,,,,,
202510,spring 2025,14651,BIOE 466-012,,Neural Engineering,"Neural system interfaces for scientific and health applications. Basic properties of neurons, signal detection and stimulation, instrumentation and microfabricated electrode arrays. Fundamentals of peripheral and central neural signals and EEG, and applications such as neural prostheses, implants and brain-computer interfaces. Closed to students who have taken BIOE 366, ECE 366, or ECE 466. Students enrolled in the course at the 400-level must complete additional advanced assignments, as defined by the course instructor.",M W,ONLINE ,,-, ,,-, ,13,65,5,854610795,"Berdichevsky, Yevgeny",AB,"BIOE 366-010 (14648), BIOE 466-011 (14650), ECE 366-010 (15182), ECE 466-010 (15183)",Engineering,,,,,,,
202510,spring 2025,15182,ECE 366-010,,Neural Engineering,"Neural system interfaces for scientific and health applications. Basic properties of neurons, signal detection and stimulation, instrumentation and microfabricated electrode arrays. Fundamentals of peripheral and central neural signals and EEG, and applications such as neural prostheses, implants and brain-computer interfaces. Closed to students who have taken BIOE 366, BIOE 466, and ECE 466.",M W,XS 303,,-, ,,-, ,13,65,65,854610795,"Berdichevsky, Yevgeny",AB,"BIOE 366-010 (14648), BIOE 466-011 (14650), BIOE 466-012 (14651), ECE 466-010 (15183)",Engineering,,,,,,,
202420,summer 2024,21253,AAS 005-010,SS,African Civilization,"Sub-Saharan Africa through the millennia of the ancient world to the present. Human origins, state and non-state systems, the external slave trade; colonialism, resistance to European rule; independence movements; neocolonialism.",,ONLINE ,,-, ,,-, ,3,16,16,803056208,"Essien, Kwame",AB,HIST 005-010 (21252),Arts & Sciences,,,,,,,
202420,summer 2024,21252,HIST 005-010,,African Civilization,"SubSaharan Africa through the millennia of the ancient world to the present. Human origins, state and nonstate systems, the external slave trade, colonialism, resistance to European rule, independence movements, and neocolonialism.",,ONLINE ,,-, ,,-, ,3,16,16,803056208,"Essien, Kwame",AB,AAS 005-010 (21253),Arts & Sciences,,,,,,,
202445,winter 2024,50022,SPED 404-010,,Cultural/Linguistic Diversity,"All teachers need to gain an understanding of how to support culturally and linguistically diverse students, particularly multilingual learners (MLs). This course explores the systemic disadvantage and bias MLs experience in the school system. It will offer best practices and concrete strategies that teachers can implement to challenge systemic disadvantages MLs face in classrooms and schools. With the understanding that students have complex identities and needs, throughout the course, the heterogeneity of culturally and linguistically diverse students will be emphasized.",M W,ONLINE ,,-, ,,-, ,12,16,20,830804452,"Nikolov, Lensi",AB,TLT 404-010 (50023),Education,,,,,,,
202445,winter 2024,50023,TLT 404-010,,Cultural/Linguistic Diversity,"All teachers need to gain an understanding of how to support culturally and linguistically diverse students, particularly multilingual learners (MLs). This course explores the systemic disadvantage and bias MLs experience in the school system. It will offer best practices and concrete strategies that teachers can implement to challenge systemic disadvantages MLs face in classrooms and schools. With the understanding that students have complex identities and needs, throughout the course, the heterogeneity of culturally and linguistically diverse students will be emphasized.",M W,ONLINE ,,-, ,,-, ,12,16,20,830804452,"Nikolov, Lensi",AB,SPED 404-010 (50022),Education,,,,,,,
202440,fall 2024,44886,ANTH 126-010,"CC, SS, SW, W",Urban Anthropology,"When you think of anthropology, you probably picture exotic fieldsites: the Arctic, the Amazonian rainforests, the beaches of the South Pacific. But contemporary anthropologists are just as likely to study Tokyo, Berlin, or Bethlehem, PA. This course examines anthropology both in and of the city. How have anthropologists thought about the complexities of urban life? How can anthropology help us make sense of urban governance? What does belonging mean in a city that is racially or ethnically diverse?",T R,PA 360,,-, ,,-, ,23,25,25,812529189,"Fox, Samantha",AC,GS 126-010 (44899),Arts & Sciences,,,,,,,
202440,fall 2024,44899,GS 126-010,,Urban Anthropology,"When you think of anthropology, you probably picture exotic fieldsites: the Arctic, the Amazonian rainforests, the beaches of the South Pacific. But contemporary anthropologists are just as likely to study Tokyo, Berlin, or Bethlehem, PA. This course examines anthropology both in and of the city. How have anthropologists thought about the complexities of urban life? How can anthropology help us make sense of urban governance? What does belonging mean in a city that is racially or ethnically diverse?",T R,PA 360,,-, ,,-, ,23,25,25,812529189,"Fox, Samantha",AC,ANTH 126-010 (44886),Arts & Sciences,,,,,,,
202510,spring 2025,14652,BIOE 369-011,,Advanced Topics in Regulatory Affairs,"Regulatory requirements for the development and manufacture of 21st century medical products. Current challenges and innovative technologies in pharmaceuticals and medical devices. Topics include combination products, biosimilars, cell therapeutics, mobile medical applications, 3D-printed products, big data in healthcare, new approaches to process validation. Closed to students who have taken BIOE/CHE 469.",T R,PA 416,,-, ,,-, ,30,110,30,821051173,"Herz, Lori",AC,"BIOE 469-012 (14654), BIOE 469-013 (14655), CHE 369-010 (15346), CHE 469-010 (15348), CHE 469-011 (15349)",Engineering,,,,,,,
202510,spring 2025,14654,BIOE 469-012,,Advanced Topics in Regulatory Affairs,"Regulatory requirements for the development and manufacture of 21st century medical products. Current challenges and innovative technologies in pharmaceuticals and medical devices. Topics include combination products, biosimilars, cell therapeutics, mobile medical applications, 3D-printed products, big data in healthcare, new approaches to process validation. Closed to students who have taken BIOE/CHE 469. This course is a graduate version of BIOE 369 (CHE 369). While the lecture content will be the same as the 300-level course, students enrolled in BIOE 469 (CHE 469) will have more advanced assignments. Closed to students who have taken BIOE/CHE 369.",T R,PA 416,,-, ,,-, ,30,110,19,821051173,"Herz, Lori",AC,"BIOE 369-011 (14652), BIOE 469-013 (14655), CHE 369-010 (15346), CHE 469-010 (15348), CHE 469-011 (15349)",Engineering,,,,,,,
202510,spring 2025,14655,BIOE 469-013,,Advanced Topics in Regulatory Affairs,"Regulatory requirements for the development and manufacture of 21st century medical products. Current challenges and innovative technologies in pharmaceuticals and medical devices. Topics include combination products, biosimilars, cell therapeutics, mobile medical applications, 3D-printed products, big data in healthcare, new approaches to process validation. Closed to students who have taken BIOE/CHE 469. This course is a graduate version of BIOE 369 (CHE 369). While the lecture content will be the same as the 300-level course, students enrolled in BIOE 469 (CHE 469) will have more advanced assignments. Closed to students who have taken BIOE/CHE 369.",T R,ONLINE ,,-, ,,-, ,30,110,10,821051173,"Herz, Lori",AC,"BIOE 369-011 (14652), BIOE 469-012 (14654), CHE 369-010 (15346), CHE 469-010 (15348), CHE 469-011 (15349)",Engineering,,,,,,,
202510,spring 2025,15346,CHE 369-010,,Advanced Topics in Regulatory Affairs ,"Regulatory requirements for the development and manufacture of 21st century medical products. Current challenges and innovative technologies in pharmaceuticals and medical devices. Topics include combination products, biosimilars, cell therapeutics, mobile medical applications, 3D-printed products, big data in healthcare, new approaches to process validation. Closed to students who have taken BIOE/CHE 469.",T R,PA 416,,-, ,,-, ,30,110,30,821051173,"Herz, Lori",AC,"BIOE 369-011 (14652), BIOE 469-012 (14654), BIOE 469-013 (14655), CHE 469-010 (15348), CHE 469-011 (15349)",Engineering,,,,,,,
202510,spring 2025,15348,CHE 469-010,,Advanced Topics in Regulatory Affairs ,"This course is a graduate version of BIOE 369 (CHE 369). While the lecture content will be the same as the 300-level course, students enrolled in BIOE 469 (CHE 469) will have more advanced assignments. Closed to students who have taken BIOE/CHE 369.",T R,PA 416,,-, ,,-, ,30,110,20,821051173,"Herz, Lori",AC,"BIOE 369-011 (14652), BIOE 469-012 (14654), BIOE 469-013 (14655), CHE 369-010 (15346), CHE 469-011 (15349)",Engineering,,,,,,,
202510,spring 2025,15349,CHE 469-011,,Advanced Topics in Regulatory Affairs ,"This course is a graduate version of BIOE 369 (CHE 369). While the lecture content will be the same as the 300-level course, students enrolled in BIOE 469 (CHE 469) will have more advanced assignments. Closed to students who have taken BIOE/CHE 369.",, ,,-, ,,-, ,30,110,17,821051173,"Herz, Lori",AC,"BIOE 369-011 (14652), BIOE 469-012 (14654), BIOE 469-013 (14655), CHE 369-010 (15346), CHE 469-010 (15348)",Engineering,,,,,,,
202445,winter 2024,50082,CGH 096-010,,Disease & Disability in Pop Culture,"This course critically assesses popular depictions of health, disease, and disability, asking how mass media and art affect our shared social imaginaries of these topics. Students will engage with source materials from film, television, novels, theater, and popular culture to ask how works of art shape the ways we think about disease and disability. We will question not only the accuracy of these popular depictions, but also their ethical significance, and the potential art holds to enact positive change.",T R,ONLINE ,,-, ,,-, ,14,15,15,819112017,"Peabody, Alexandra",AC,HMS 096-010 (50089),Health,,,,,,,
202445,winter 2024,50089,HMS 096-010,,Disease & Disability in Pop Cultulre,"This course critically assesses popular depictions of health, disease, and disability, asking how mass media and art affect our shared social imaginaries of these topics. Students will engage with source materials from film, television, novels, theater, and popular culture to ask how works of art shape the ways we think about disease and disability. We will question not only the accuracy of these popular depictions, but also their ethical significance, and the potential art holds to enact positive change.",T R,ONLINE ,,-, ,,-, ,14,15,15,819112017,"Peabody, Alexandra",AC,CGH 096-010 (50082),Arts & Sciences,,,,,,,
202440,fall 2024,44211,ASIA 114-011,SS,Social Issues In Contemporary China,"Dramatic Economic, cultural and social changes are underway in China today and have aroused much debate among social scientists East and West. The following social issues are critical for understanding China’s development trajectory: inequality and poverty; rapid demographic shifts; provision of health care services; provision of education services; and becoming an “information society.” We will explore how these issues intersect with old hierarchies in China, urban-rural differences, and gender differences.",M W,LL 512,,-, ,,-, ,30,29,25,813575835,"Zhang, Yuping",AD,SOC 114-011 (44210),Arts & Sciences,,,,,,,
202440,fall 2024,44210,SOC 114-011,,Social Issues In Contemp China,"Dramatic economic, cultural and social changes are underway in China today and have aroused much debate among social scientists, East and West. The following social issues are critical for understanding China's development trajectory: inequality and poverty; rapid demographic shifts; provision of health care services; provision of education services; and becoming an ""information society."" We will explore how these issues intersect with old hierarchies in China, urban-rural differences, and gender differences.",M W,LL 512,,-, ,,-, ,30,29,25,813575835,"Zhang, Yuping",AD,ASIA 114-011 (44211),Arts & Sciences,,,,,,,
202510,spring 2025,14662,BIOE 315-010,,Bioengineering Statistics,"Advanced methods in probability and statistics applied to bioengineering problems focusing on modeling and data analysis. Topics include the following: types of data, types of distributions, parametric and nonparametric analyses, goodness-of-fit, regression, power analysis, and multivariate analysis, life models, simulation, cluster analysis, and Bayesian statistics. Special emphasis is placed on projects and case studies.",T R,BI 107,,-, ,,-, ,27,70,35,811065471,"Pashuck, Eugene",AD,"BIOE 415-010 (14665), BIOE 415-011 (14666)",Engineering,,,,,,,
202510,spring 2025,14665,BIOE 415-010,,Bioengineering Statistics,"Advanced methods in probability and statistics applied to bioengineering problems focusing on modeling and data analysis. Topics include the following: types of data, types of distributions, parametric and nonparametric analyses, goodness-of-fit, regression, power analysis, and multivariate analysis, life models, simulation, cluster analysis, and Bayesian statistics. Special emphasis is placed on projects and case studies. Credit can not be received for both BIOE/ME 315 and BIOE 415.",T R,BI 107,,-, ,,-, ,27,70,35,811065471,"Pashuck, Eugene",AD,"BIOE 315-010 (14662), BIOE 415-011 (14666)",Engineering,,,,,,,
202510,spring 2025,14666,BIOE 415-011,,Bioengineering Statistics,"Advanced methods in probability and statistics applied to bioengineering problems focusing on modeling and data analysis. Topics include the following: types of data, types of distributions, parametric and nonparametric analyses, goodness-of-fit, regression, power analysis, and multivariate analysis, life models, simulation, cluster analysis, and Bayesian statistics. Special emphasis is placed on projects and case studies. Credit can not be received for both BIOE/ME 315 and BIOE 415.",T R,ONLINE ,,-, ,,-, ,27,70,5,811065471,"Pashuck, Eugene",AD,"BIOE 315-010 (14662), BIOE 415-010 (14665)",Engineering,,,,,,,
